display  D   display_settings.c:191  debug_display_settings           [   0.17360] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17362] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17363] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17365] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17367] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17369] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17370] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17372] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17374] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17376] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17377] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17379] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17381] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17383] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17384] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17386] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17388] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.17390] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17391] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17393] Single Buffer requirement not met.
